content,score
aplikasi nya sangat bgs,5
mntp apknya,5
"Apk ini makain hari makin nyusahin,mau post foto di unstagram udah gak muncul lagi di pilihan foto lenkep atau potret gak bisa kita membedakan nyan saat mau post foto. Biasa nya pas kita ketuk di salah satu foto langsung keluar foto layar gedek di atas,sekarang gak muncul lagi untuk menentukan foto potret dan lenkep",1
Good,5
Bagus bangat jadi Aku kasih bintang lima,5
Sangat baguss,5
Apk gk jelas masa gk ada cewek yg DM gua,5
Aplikasi nyah dah mantep tapi sayang ga ada yg chet,5
good,5
Inovatif,5
"Membuka DM sangat jelek banget,lamaa",1
asik,4
aneh ni bikin repost sg malah gada suara lagu nya bug bgt instagram nya plis benerin lgi,1
oke,5
Bagus bisa foto foto juga,5
Bagus bgt,5
keren bgt,5
Sangat suka dan bisa membantu mencari teman dan saudara serta menambah wawasan dalam media sosial,4
Hahhah anjir ada yg norak bet kek gpernah main Ig lu sumpah haahh,5
keren,5
"ngebug terus ga bisa ngesave foto, padahal aplikasi sering di update hadehhh🗿🗿",1
Best,5
Apk nga jls,1
Saya lumayan suka aplikasi ini,4
Kenapa saya masuk di instagram kameranya hitam,1
Mantabb,5
Suka,5
Ok,5
Good,5
Update gak jelas,1
Ok,5
Bagus banget cocok untuk yang muka nya sensitif,5
Bagusaa,1
"Hallo admin Instagram, untuk kali ini saya tidak bisa live dari bulan Maret 2024 kemarin knp tinjauan nya tidak dibalas pdhl udah nunggu 2 bulan. Tapi ditulisan hanya beberapa hari, tpi udah hampir 3 bulan blm ditinjau",1
balikin ukuran feeds ke 1x1 ih😔😔💔💔,1
apk nya bagus tapi suka keluar dan tidak mendukung😡,5
Tampilan jelek,1
"TOLONGGG JANGAN APUSS ARSIPP INSTAGRAM PLIS, SEMUA MEMORI GUA DI SITU, KALO LU APUS, GUA UNINSTALL INSTAGRAM!!!!!!",1
"Semua kritikan dan penyampaian kritis di hapus, app ini sengaja melakukan pembatasan agar kita semua jadi bodo, dan negara ini makin rusak. Dengan alasan filter. Tdk usah masuk di Indonesia. Sengaja merusak dan memelihara lembaga negara yang korup agar tdk di kritik, agar tetap rusak dan menjadi hancur akibat instagram ini",1
Terbaik,5
Top ⭐⭐⭐,5
baik',5
"Kenapa skr IG susah mau posting, uda seminggu ini IG sy ga bs posting apapun, tlg di perbaiki dong. Dulu IG ga sprt ini.",2
Mantap,5
Ga bisa dipakai. Selalu ga berjalan,5
Bagus,5
Emang keren sih Bercanda Bercanda,5
Tidak bisa follow orang,5
Cocok dengan saya ❤,5
bagusss bangettt,5
Mantab,5
Bagus banget efek nya❤,5
Enak aja sih main Instagram aku suka aku suka😆,5
Dasar ga jelas nyata ada akun ada nomor sandi lengkap terus dipermasalahkan ga bisa login ga jelas sekali sudah aplikasi ini,1
Kenapa tidak bisa ngelive?,2
Good,5
Tetap menyala,5
Mohon di perbaiki,5
Bguss sukaa👍,5
tidak bisa login!!,1
Alhamdulillah bisa jualan,5
hebat,5
Oke,4
Gak 😒,1
Memuaskan mudah di pahami cara menggunakan,5
Bagusss,5
Aplikasinya jelek masak saya mau bikin akun baru ndak bisa..... Pokoknya jangan downloan aplikasi ini deh rugi nanti kalian 😡😡😡😡😬😬😬😬😠😠😠,5
Bagus,5
Pkokk ny aplikasi ini sngatt bagus,5
Mantap,5
aplikasi ini sangat banyak aturan sebaiknya jangan di download,1
Banyak bug foto di SD card gak kebaca saya mau post foto jadi gak bisa tolong cepat di perbaiki,1
Ini bagus banget sumpah,5
sya susah karna tdk bisaa merekam vidioo,5
"APA BANGET COBA, POSTINGAN DI BAGIAN PROFIL jadi lebih TINGGI jadi keliatan JELEK, tolong INSTAGRAM KEMBALIKAN UKURAN NYA SEPERTI DULU😒😒",1
Sangat bagus untuk bisnis,5
Terimakasih,5
God job,5
Bagus sangat terbantu,5
Aku suka banget Instagram apa lagi kita bisa bertemu teman baru seneng bgt,4
bagus,5
Bagus kali buat belajar,5
begoss,5
Bagus,5
Instagram nya bagus terus juga ga ribet buat akunya jadi aku suka banget,5
Baguss,5
Sangat menyenangkan,5
wow ss bb tt,3
Agak lemot,3
Sosmed satu ini memang keren sih,5
aplikasi keren,5
Jelek jelek bagus,4
Anjay udah 1 tahun aja,5
Woowow,5
Ini gimana gak bisa buat akun baru lagi malah eror halaman Iki tidak tersedia,3
Bagus😊👍,5
gak usah download ig akun gua keblokir 3sekali gus mau login aku lain dibatesin,1
siip,5
Puas,5
Profesional.,5
Kenapa tidak bisa upload story pakai filter?,1
Ok,5
Sangat menarik,5
4 dulu Bosq,4
Terbaik,5
Ajib deuh!!!,4
ya ya bagus aplikasinya,5
best,5
tolong buatkan fitur repost dong seperti yang ada di tiktok,3
"Apasih ig ni login aja gak bisa, terjadi kesalahan mulu, udah di coba bikin akun baru sama aja, tetep gk bisa, pihak instagram ini gimana haduh",1
Mayan lah,5
Membantu bngt tontonan n berita²nya sngt akurat,5
"no smooking no alkohol,,,,cium aku dong😙😙😙😙",5
Bagus banget efeknya pun bagus banget 😊,5
Tidak bisa masuk Instagram,1
Mantap,4
Very good,5
𝐂𝐮𝐤𝐮𝐩 𝐦𝐞𝐦𝐮𝐚𝐬𝐤𝐚𝐧 𝐝𝐥𝐦 𝐛𝐞𝐫𝐢𝐧𝐭𝐫𝐚𝐤𝐬𝐢 𝐛𝐞𝐫𝐬𝐚𝐦𝐚 𝐤𝐚𝐰𝐚𝐧 𝐚𝐭𝐚𝐮 𝐤𝐞𝐫𝐚𝐛𝐚𝐭 𝐭𝐞𝐫𝐝𝐞𝐤𝐚𝐭...𝐓𝐞𝐭𝐚𝐩 𝐬𝐥𝐚𝐥𝐮 𝐛𝐞𝐫𝐬𝐞𝐦𝐚𝐧𝐠𝐚𝐭 𝐝𝐥𝐦 𝐡𝐢𝐝𝐮𝐩 𝐬𝐥𝐚𝐥𝐮 𝐛𝐞𝐫𝐨𝐩𝐭𝐢𝐦𝐢𝐬 𝐭𝐡𝐢𝐧𝐤𝐢𝐧𝐠...,5
mendaulodnya sangat lama!! padahal baru isi kuota 🥲,2
ada video mas amba loh rekk,5
semakin lama semakin sampah nih aplikasi. banyak banget bugnya.,1
Aplikasi nya bagus aku suka banget tapi ada yang kurang filternya agak dikit kayak kagak ada yang baru filter nya tapi aku tetep suka sama aplikasi nya jadi aku kasih bintang 5,5
Suka dengan Ig karena lbih menjangkau luas...trimakasih Ig,5
Ok,5
"kerennn, sya bisa mengekspresikan",5
Ok,5
lumayan,3
Knpa efek di ig sya ke hpus??,5
Sangat cocok,5
"Gk ngerti sama ni app udh kek FB njirr, kebanyakan update malah lemot dan sering negbug",1
Sangat cocok untuk anak PSTD 🫰,5
Excellent,5
😎😎,5
Bagus,5
"Makin aneh, punyaku g bisa liat komentar",1
good job,3
Mantap,5
Sangat primitif,4
Bgus,5
"kenapa cuma update di akun lain, di akun utamaa engga tolong dong saya juga mau buat kaya di akun lagi yg udh dpt update",3
"Tolong lah di perbaiki bug yang meresahkan ini setiap saya ini melihat reels ataupun yang lain nya di isntagram semua nya lemot tetapi sinyal saya baik baik saja,sudah berapa kali saya apus dan domload lagi tetapi hasil nya tetap sama saja.jadi tolong lah admid di perbaiki secepat nya karna ini sudah sangat meresahkan",1
"Sering diblokir komennya padahal baru komen berapa biji, dulu sampe sepuluh dibatasi tapi nggak diblokir, mana diblok sampe tiga hari, parah bener, kecewa berat",2
"Instagram the best banget pokoknya, love it",5
Bgouuuuus,5
Menyenagkan,5
Baik,5
Sungguh aku tersenyum saat mengunakan Instagram,5
jelek ige,1
Jaya ...,5
Bagus bagus bagussssss⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5
goood app,5
nyesel banget megang akun ig nya..,5
Akan aku expresikan disini,5
tolong dong kenapa gabisa repost story padahal udah ditag,4
Sangat menyenangkan,5
👍👍👍👍👍,5
Senang aja karena update berita dan kejadian sekitar lebih cepat disini,5
same as before kalo bisa skrng notes bisa vn sama kamera blkg,4
Bgusss,5
keren,5
What is your Name,4
Top selalu,5
Bagusss,5
mantap,5
ig ini versi yg lama,2
Mengapa ganti sampul sorotan lama sekali muat gambarnya dan tidak bisa?,5
instragrm luar biasa👍👍,5
"tolong diperbaiki dong, ig nya tuh kenapa suka erorr ya? rasio nya yang semula nya jadi 4:8 tiba tiba jadi 1:1 kayak ke crop gitu :( padahal slide ke 1 itu bisa loh normal 4:8 tapi pas menuju slide ke 2 sampe seterusnya itu tuh jadi 1:1 kepotong :(. tolong pihak instagram secepatnya diperbaikin, di instagram saya juga tidak ada boardcastnya padahal udah saya update jg dan uninstal terus, tolong pihak instagram.",1
"Ig sekarang tu aneh, bikin akun masa gak bisa, kan sangat lah aneh, mending apus aja dari PlayStore,",1
aplikasi ya mudah dan memuskan,5
Sangat mengecewakan,5
Sangat baik Baik Luar biasa,5
Kenapa malah jadi full reels?? Dan yang muncul topik topik ga jelas tidak sesuai pengaturan preferensi konten.,1
Lebih jelas untuk melihat apa yang kita ingin kan.,5
lumayan buat ngisi ruang sepi,5
"Tolong konten"" yang berbau pornografi di kondisikan",1
Baik,5
minta tampilan video tak kunjung di tampilkan,3
Tidak bisa buat mendaftar sampe 10 kali gk bisa mendaftar,1
Membikin gue senang Dan happy,3
mantap,4
Menyenangkan,5
"Ga bisa dibuat tataletak!!! Selalu yang muncul layar warna hitam, kenapa ya??? Semoga diperbaiki lagi...",1
sangat nyaman saya dengan adanya media ini,5
Sangat bagus,5
apk ny bagus bgt,4
"Udah di nekan gak tertarik, reelsnya malah makin banyak, apa coba",3
Kenapa ya diakun saya filter ignya muter trus pdhl sudah updet dan jaringan bagus saran dong min,5
Bagus sekali cocok untuk aku dan berkomunikasi kasi,5
Bagus sekali,5
Mantaaap,5
Keren menarik menghasilkan,5
Sangat cocok untuk kami smua,5
Ini bug atau apa? kenapa waktu mau tambahkan story yg udah hilang 24 jam kok gada di bagian arsip?! Padahal udah aktifkan.,3
baguss,5
"akunku sudah lama banget gabisa live, dan bahkan sekarang ada pembatasan interaksi ke akun tertentu, karena dicurigai komentarku yang melanggar, padahal komen gada kata vulgar atau kebencian...dan ga ada pemberitahuan sampai kapan bakal kaya begini terus..",1
Saya suka Instagram karena saya bisa berteman dengan orang Instagram,5
Sangat cantik dan menarik,5
"Fitur² nya bagus, cuma ada sedikit saran saya dari saya, yaitu tambahkan fitur jumlah tayangan pada catatan yang kita buat khusus nya lagu pada catatan. Terima Kasih",4
Terima kasih,5
"min gimna aih saya tidak melakukan apa pun di rels saya tapi knp akun saya di belokir klo kaya gini mending ga ush download ig deh buang"" waktu doang followers udh naik malah di blok akun saya kan saya cape"" naikin nya gimna sih bukan nya di kasih peringatan malah langsung blok gitu aja aneh saya mah padahal di dalem nya ga ada apa"" selain relas saya idih alah sanggup gw mah klo kaya gini mah mending ga usah main ig mending main tele lebih aman kaya nya aneh padahal ga buat ke salaahan",1
sangat bagus dan sangat senang untuk di pahami,5
sangat bagus,5
jgn terlalu bnyk bayar,5
Ini kenapa tidak bisa muncul,5
I like,5
Luar biasaa,4
Mantap,5
RETURN SQUARE GRIDS,1
Gak beres,1
kenapa sih di instagram sekarang tidak bisa menambah kan foto sampul udah beberapa kali di coba masih sama aja tidak bisa menambahkan foto sampul di sorotan nya,1
Lelet,1
"menyenangkan, dan dapat mengembalikan mood",5
👍👍👍👍👍,5
good,5
No comment,5
🤙,5
"Sebentar2 banned, dikit2 ujaran kebencian, dikit2 loading, dikit2 lama lama jadi bukit.. sekarang jd sering ngubugs lg asik2 liat reels, ehh tetiba ngebugs bbrp mnt.",1
Gk bisa live,3
Fitur nya bagus dan indah,3
Puas,5
APLIKASI TALED ADANE,1
Sangat Bagus Sekali,5
aplikasi nie sangat membantu sekali buat saya intinya aplikasi ini sangt bagus dan keren,5
Ok,4
"for instagram, why should the ratio be changed 1:1 is already good, I as a person who uploads photos in a row because of the latest update it becomes messy, then many of the effects are lost. what's the matter?",1
"Algoritma Instagram sangat luar biasa, terima kasih juga telah mengisi waktu kekosongan ini",5
Admin tololl kalau gak mau komentar kasar jangan upload video tentang menimbulkan kekerasan pikir pake otak.. Elu mau untung sendiri aja,1
Baik,5
Saya suka,5
tolong di perbaiki lah bug apk nya mau follow orang lain aja gabisa malah ada tulisan permintaan anda tertunda (beberapa akun lebih memilih meninjau pengikut scr manual meskipun sifatnya publik) menggangu bgt tau gaa!! mau follow temen temenku aja gabisa malah makin aneh tuh apk meta bukannya menjadi yg lebih baik lagi secara kualitas malah makin turun.. sudah itu aja semoga cpt di perbaiki,2
akun ku selalu di ban baru di buat di ban juga besok nya,1
Kenapa walau sudah di update tpi gk bisa lihat viewers di story kita sndri ya ig?,1
Ok,5
Top,5
Yailok,1
sangat bagus,5
Ig saya tidak bisa di update sudah satu bulan ini,1
Good,5
bagus saya menyukai nya,5
Ngak bisa post video,1
bagus,5
Mudah ngedit video dan foto,5
"ig lagi knp sii, barusan pake yg ada fitur baru kunci itu. Eh tiba tiba foto postinga aku hilang semua ,sumpah ig ga jelas bangetttt",1
Kenapa nggak bisa masukin saya ke Instagram kenapa,1
"Saya tidak bisa login ke akun saya,saat saya coba login ada tulisan ""kesalahan"" Tolong di perbaiki",5
akun saya tiba-tiba diblokir tanpa sebab!!! Padahal g upload konten yg aneh-aneh. Komen juga.jarang! aneh,1
Ga bisa di buka Ig nya kenapa nihh,5
Lebih bervariatif informasi & berita,5
bagus aplikasi instagram live,5
Bagus banyak efek nya tapi saya kurang suka tolong dong kalau bukan n pudio jangan di sambung ke fesbuk malu,5
Sangat informatif,5
Verry Verry Good,5
Asik bngt semoga makin rame Instagram ku,5
semua,5
Bagus. Dan ndk ribet kalo mau edit vidio,3
.bisa login akun dengan konfirmasi ke WA. tapi abis itu stuck hitam layarnyaa. udah seminggu lebih ga sembuh sembuh kirain awalnya bug.,1
bisa berekspresi dan nyaman pake Ig ini udah lama,5
"Nyusahin, bikin kerjaan aja di feed",2
Gabisa login pake fb sih min,1
Oke,5
Apk nya bagus,5
sebenarnya bagus tapi knp skrg filter ny hilang semua seperti filter dog dan lain lain tolong kembalikan itu filter fv saya plisss 😔😔😔😔,3
Mudah di liat,5
Mantap,4
Seru,5
"sound di postingan selalu hilang ,tidak tau karena apa",2
bagus untuk mengabadikan momen penting dan berharga dalam kehidupan kita,5
okok,5
Gadak inffo,5
Oke 👍,5
Setuju,5
Baguss👍,5
"Akun tidak bisa dipakai, tertulis tidak aman, padahal HP ganti dg nomor yang sama ijin grapari",4
Keren,5
Apk lumayan tapi kekurangan nya kadang kadang lag GK jls kaya ngbug gituh tolong diperbaiki lah dikit,5
Good,5
saya suka sekali sama Instagram karna bagus,5
"Akun ditangguhkan tanpa alasan ""rickyj_5""",1
Sangan bagus,5
Instagram nya kerenn,3
Baguss,5
Bagus,5
hiburan mata,2
"pliss efek ig yg bagus"" jngn dihps dong,pdhll udah lama pake ig tpii efek""nya yg bagus malah dihps yg disisain yg jelek""",1
You make know let your started,5
Banyak informasi yang didapat,5
"apk bagus, kisah ini berawal dari instagaram..",5
Bagus,5
Followers gua ga sesuaii!!,1
Bagus,5
gak ada instgram sesepi apa hidup ini wkwk,5
Kurangi eror2nya lah,5
Good,5
INSTAGRAM SANGAT BAGUS UNTUK MENG UPLOAD SESUATU ATAU KEGIATAN KITA ☺️,5
bagus,5
I like,5
Mantap,5
Ig nya setelah di update gk bisa di buka gimn caranya tutor dongg,2
I cant unread message,4
Matap,5
Wow i love Instagram. Tolong saya tiba2 IG saya tidak bisa login Padahal pasword benar tapi di bilang salah,1
Kerennn,5
Lebih mudah mengexplore dunia dengan 1 aplikasi.,5
Bagus,5
"Ngapain ada reels tersendiri di deret bawah, kan bisa nyari di bagian search, dan ga butuh banget ada reels di situ, payah",1
Sangat bagus,5
Tolong rekomendasi di perbaiki sistem pemilihan opsinya,5
Lopyuu Instagram,5
Memuaskan,5
Thank Instagram,5
menampilkan berbagai macam informasi atau video/foto hiburan yang segar dan dapat memudahkan dalam mencari teman,5
Mantap,5
"Daya jangkau informasi yg sangat luas,terimakasih",5
Ok,5
Aplikasi ini sangat bagus,5
Hilang semua filter,1
"Tolong berikan saya solusi, saya memiliki akun yang dihapus, namun saya juga ingin mengambil data berupa foto & video yang terdapat didalamnya. Tolong direspon",2
Gud,3
"2 dulu, ini kenapa setiap pake fitur kolase selalu loading lama banget gabisa kepake, info dong please ini kenapa, ampe unduh aplikasi kolase saya.",2
Sangat mudah digunakan dan dipelajari,5
Di instal tapi tertunda terus,1
Sangat membantu,4
"Banyak bug ajgg,vidio jadi burik saat di unggah story padal jaringan bagus banget.",1
👍,5
"Banyak info & ide , komen yang bijak, ikuti yang layak , terus lah berkarya",5
Tok til,5
Baik,5
"Kenapa ya ko ada beberapa fitur2 ilang, padahal sudah update.",3
"Banyak terjadi bug seperti pas nyari nama instagram orang lain, giliran kita cari malah ngk keluar di pencarian padahal nama akun yang kita cari itu ngak nge blokir kita, tapi tiba2 aja hilang",2
Bagusss 👍👍👍👍👍🙏🙏🙏,5
Sangat cocok. Dan bagus 😁😁,5
Aplikasinya bagus,4
"Tiba"" log out sendiri, terus mau masuk lagi salah terus password ya",1
Tidak bisa di buka,1
"Ini sangat bagus sekali kalo kita Lagi bete tinggal putar ini bete nya langsung hilang ,,coba Dee kamu coba pasti galau kamu akan cepat hilang ,,,, tapi kasi filternya yang bagus bagus dong 🙏🙏🙏🙏🧑🧑",5
tidak bisa di gunakan 👎,1
Kau memang terbaik man,1
🤩,5
"COBA LAGI NANTI, peringatan sangat mengganggu",1
Bagus,5
gut,5
"maaf ks bntng 2 krna efek""/filter""yg sudah di simpan tb tb hilang dan ga ada..mohon d perbaiki lg y",2
Mantappss😎😎,5
Sya suka aplikasi instagram,5
good,5
"sangat puas,berkat Instagram saya dapat mengetahui tentang crush saya,terimakasih Instagram🤍🤍🤍",5
"banyak bug yang perlu diperbaiki, mau upload story malah layarnya & pilihan filter mengecil, story orang jadi zoom banget",2
Bagus,3
semoga instafram merekomendasikan saya sebagai kreator yg baik dan penuh semngat,5
Gak tau sandi,1
Tolong fyp kan fidio saya mas bro,5
cung yang setelah update kalau nonton reel lalu di tambahkan ke IG story tapi belum ada beberapa menit udah ilang ga tau kemana wkwk,2
Like is the best,5
Sudah lama menggunakan Instagram,4
oke lah,5
Bagus bgt beda sama yg lite kalau yang biasa itu banyak fitur fitur yg beda sama yg lite yg lite kan gak bisa buat foto gitu kalo di yg biasa itu ada fitur live atau siaran langsung dn bisa deh bikin reels,5
"Bukan dari aplikasinya yang buruk melainkan periklananya, 1 report iklan judi setara dengan ratusan iklan judi makin banyak yang keluar. aplikasi meta mendukung perjudian untuk indonesia gg (dongonya) tolol iklan judinya #STOPJUDIONLINE",1
Birikan sa foger,5
Baguss,5
Aplikasi nya bagus sekali,5
dulu aplikasi ini bagus sekarang pas saya mau download lagi kata nya harus login dulu pas udah login di suruh masukin kode yang di kirim ke email padahal kode nya gak ada di kirim.Saya kecewa dengan aplikasi ini jangan download,5
Gimana sih fitur efek ko pada gaada semua ya??,2
Saya merasa puas dengan aplikasi ini,5
🥇🔥🔥🔥🔥🔥🔥🔥🔥mantap,5
bagus,5
"ig sekarang kenapa dah aneh banget makin di update makin freak. malah after di update makin ngaco. maksudnya apaan sekarang ada keamanan remaja begitu? terus kalo misal nih ya, kita disuruh upload di ig tugas sekolah dan otomatis akunnya harus disetting ke publik kan, nah itu sekarang udah ga bisa lagi. sekarang harus menambahkan ortu segala. RIBET TAU GA. ga cuma itu, sekarang mau diakal ubah tanggal lahir juga ga segampang itu, susah banget. intinya ig sekarang makin freak & bikin gw kecewa!",1
Luar biasa semoga semakin bermanfaat bagi semuanya,5
"Banyak pengetahuan tentang bagaimana membimbing orang yg sdg menghadapi sakarotul maut, cara memandikan jenazah, menfkafankan jenazah, menggunakan ambulance, memilih pemakaman yg akan memberikan jaminan keamanan dan kenyamanan pada anak dan keturunan yg nasabnya akan terjaga sampai akhir zaman.",5
Aplikasi Kren,5
Aplikasinya kren❤️,5
Apik nemen yah ig,5
Mantap 👍,5
Kenapa gbisa live,1
"Kenapa kalo mau foto sekarang susah nya malah muter, mau di upgrade siapa tau membaik",1
"Udah diperbaharui kenapa jadi nge lag yaa, notifikasi komen/like dalam cerita nggak muncul..",5
Rohht,4
"Bagus,dan menyenangkan",5
Nice Ig thanks you,4
Update mulu ee,1
bagusla,4
Banyak konten bermanfaat yang bisa di dapat dan di pelajari,5
sumpah ini bagus banget apliaksi,5
"apaan bgt, catatan di ig sering tiba"" hilang, dan ga bisa muncul lagi, cape harus download ulang trus""an",2
"instagram bagus dan representatif, mantaaap....",5
Bagus apk nya,5
kok gak bisa login,4
Good job,5
Menyala,5
Siip,5
Apk ini sangatt bagus sekalii 100%,5
♥,5
ok,5
very good,5
bgus,5
Ndebes pokok nya haha,5
"eror nih, sering keluar sendiri dari akun kita dan harus masuk lagi masukin sandi lagi",2
Bagus,5
Mantapp,2
Plikasi bagus tapi sayang di plikasi ini bayak cewek modal fitur ni wkwkkw,5
Sangat puas 👍👍👍👍,5
Biar bintang yang mejawab,5
Amat bagus,5
"mantap""",5
Lumayan,3
Aplikasilu FC anjir,2
Coba,5
siip,5
Lag parahh padahal jaringan bagus!! Sering kena hack udah berapa kali ganti akun dan ganti email ga ngaruh tetap aja kena hack coba deh fitur keamanan nya ditingkatkan 😑,1
Bagus,5
Hanya satu kata....TERBAIK,5
bagus,5
kok makin lemot kenapa ini,2
terimakasih Instagram,5
Ribet,1
Bug to swipe down for close instagram story ☹️,2
Bagus,5
banyak bug,3
Tebaik,5
selalu ada bug reels yg lama sama sorotan juga kenapa jadi blur padahal awal upload kualitas nya bagus,1
Kereeeen,5
Asyiknya,5
Saya puas dng ig,5
Kebanyakan update,1
"PLISS ADAIN LAGI FITUR NOTES, SAYA BUTUH BANGETTTTTT, JANGAN DI ILANGINNNN DONG, PLSS AYOOOO KEMBALIIN FITUR NOTES/CATETAN",5
absen sini yang tiba2 kesuspend😭,5
"Padahal gak buka ig, tapi keliatan online sama orang...dasar ig tolol",1
bagussss banget,5
Apl bagus xuma susah masuk,5
Bagus banget dan saya juga seneng bisa chat idola saya,5
Apil kasi ini bagus cuman harus dibeneran,4
BUG ANEH ! GA BISA FOTO PAKE FILTER. MAU ADD FILTER GA BISA TULISAN NYA TIDAK BISA MEMAKAI FILTER ! PADAHAL SUDAH UPDATE PALING BARU ! TOLONG DONG DI PERBAIKI.,1
Ig nyaa baguss,5
Sangat baik,5
Good,5
mantap,5
ig lagi error kah? masa aku buka dm langsung error gtu? tolong lah pihak Instagram segera perbaiki bug nya ini,3
Enak,5
Dlu aku gak suka ig tpi skrg kok aku mulai jatuh hati pada ig.,5
Say suka banget ama ini instagram karna membuat saya cinta bangett,2
ga tau mo ngetik apa🤷‍♀️🙏🏻,5
Bagus,5
Saya sangat suka Terima kasih😘💕,5
Luar Biasa 👍👍 keren,5
"Aplikasi yang mendunia, saya suka ituu",5
Sangat kren apknya,5
bagus,5
Kenapa saya tidak bisa loginnnnnn mending jangn donwload dehh,1
Saya kasih bintang 5 tapi perbaiki lagi fiturnya makin lama makin bugg aja!!!!!!! 🥲,5
good job,4
Sangan membatu cari sodara dan kawan yang lama tidak berkomunikasi,5
Lopyouuhh puoll pokok e💅💅💅,5
Top,5
saya suka aplikasi ini,5
dikit dikit gangguan,1
bagus banget kon,1
Aplikasi sangat bagus,5
Iyah,5
"ga bisa login padahal email, nomer, nama pengguna udah bener sistem bosok",1
Bgus,5
Keren,4
Bagus,5
Aplikasinya kek lapet GK bisa bikin jj,1
Bagusss,5
Baik sekali,3
Bagus juga,5
Sangattt bgussss,5
Bagus,2
flipeside kemana?,2
buat hiburan,4
"Kenapa sering nge leg ya, padahal jaringan aman"" Aja",3
ig sekarang suka eror aku udah 4 kali download ulang karna igku ga bisa di buka padahal hp aku ga banyak sampahnya,1
tentang aplikasi ini. baik,4
Andai aku bisa mendownload nya ini seru banget loh tapi aku tidak bisa mendownload nya sedih banget aku kasih bintang lima kalau bisa di download🙃,4
Sekarang udah semakin suka buka Instagram karena banyak giveaway,5
Can you add an unfollow feature on Instagram? Thank you,5
goodddd,5
"Kok jdi kaya gini sii ig, tolongg min dibenahii, jdi suka ngelag sendiri, kembali sendiri bahkan hilang. Tolong ya minn makasiihh",1
Apk nya bagus tapi kok akun ku gak bisa live ya??,5
Mayan,4
Ok bos q,5
apk ny bagus cuman aku lupa kode tolong bantuin 😭🙏🏻,5
mencoba,5
Intragam sangat bagus sekali,5
Pokoknya mantep dahh,5
bisa dengan mudah untuk sebar informasi,5
Tidak bisa live karena tidak memenuhi syarat. Syarat apa??????,1
"Akun utama saya kehilangan fitur undang kolaborator dan tidak mendapatkan fitur update terbaru, saya mohon sebesarnya untuk pihak Instagram memperbaiki masalah ini karena ini sangat merugikan bagi konten kreator yang ingin collab dengan peforma lebih baik🙏",2
bagus skali,5
INI BAGUS BANGET,5
Mudah-mudahan anak saya menjadi orang yang hebat di masa depan nya,4
Saya sangat terhibur terimakasih,5
Bagus,4
Good,5
